id,power_supply_standard,max_motherboard_size,type,side_panel_window,product_fk
1,ATX,Mini ITX,Mini ITX Tower,None,2773
2,ATX,Mini ITX,Mini ITX Tower,None,2774
3,ATX,Mini ITX,Mini ITX Tower,None,2775
4,ATX,Mini ITX,Mini ITX Tower,None,2776
5,ATX,Mini ITX,Mini ITX Tower,None,2777
6,ATX,Mini ITX,Mini ITX Tower,None,2778
7,ATX,Mini ITX,Mini ITX Tower,None,2779
8,ATX,Mini ITX,Mini ITX Tower,Tempered Glass,2780
9,ATX,Mini ITX,Mini ITX Tower,Tempered Glass,2781
10,ATX,Mini ITX,Mini ITX Tower,Tempered Glass,2782
11,ATX,Mini ITX,Mini ITX Tower,Tempered Glass,2783
12,ATX,Mini ITX,Mini ITX Tower,Acrylic,2784
13,ATX,Mini ITX,Mini ITX Tower,Tinted Tempered Glass,2785
14,ATX,Mini ITX,Mini ITX Tower,Tinted Tempered Glass,2786
15,ATX,Mini ITX,Mini ITX Tower,Tempered Glass,2787
16,ATX,Mini ITX,Mini ITX Tower,Tempered Glass,2788
17,ATX,Mini ITX,Mini ITX Tower,Tempered Glass,2789
18,ATX,Mini ITX,Mini ITX Desktop,None,2790
19,ATX,Mini ITX,Mini ITX Desktop,Tempered Glass,2791
20,ATX,Mini ITX,Mini ITX Desktop,None,2792
21,ATX,Mini ITX,Mini ITX Desktop,None,2793
22,ATX,Mini ITX,Mini ITX Desktop,None,2794
23,ATX,Mini ITX,Mini ITX Desktop,Acrylic,2795
24,ATX,Mini ITX,Mini ITX Desktop,Tinted Tempered Glass,2796
25,ATX,Mini ITX,Mini ITX Desktop,None,2797
26,ATX,Mini ITX,Mini ITX Desktop,Tempered Glass,2798
27,ATX,Mini ITX,Mini ITX Desktop,Tinted Tempered Glass,2799
28,ATX,Mini ITX,Mini ITX Desktop,None,2800
29,ATX,Mini ITX,Mini ITX Desktop,Acrylic,2801
30,ATX,MicroATX,MicroATX Mini Tower,None,2802
31,ATX,MicroATX,MicroATX Mini Tower,None,2803
32,ATX,MicroATX,MicroATX Mini Tower,Tempered Glass,2804
33,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2805
34,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2806
35,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2807
36,ATX,MicroATX,MicroATX Mini Tower,None,2808
37,ATX,MicroATX,MicroATX Mini Tower,None,2809
38,ATX,MicroATX,MicroATX Mini Tower,None,2810
39,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2811
40,ATX,MicroATX,MicroATX Mini Tower,Tinted Tempered Glass,2812
41,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2813
42,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2814
43,ATX,MicroATX,MicroATX Mini Tower,Tinted Tempered Glass,2815
44,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2816
45,ATX,MicroATX,MicroATX Mini Tower,Acrylic,2817
46,ATX,MicroATX,MicroATX Mini Tower,Tempered Glass,2818
47,ATX,MicroATX,MicroATX Mini Tower,Tempered Glass,2819
48,ATX,MicroATX,MicroATX Mini Tower,None,2820
49,ATX,MicroATX,MicroATX Mini Tower,Tempered Glass,2821
50,ATX,MicroATX,MicroATX Mid Tower,Acrylic,2822
51,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2823
52,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2824
53,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2825
54,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2826
55,ATX,MicroATX,MicroATX Mid Tower,None,2827
56,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2828
57,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2829
58,ATX,MicroATX,MicroATX Mid Tower,None,2830
59,ATX,MicroATX,MicroATX Mid Tower,None,2831
60,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2832
61,ATX,MicroATX,MicroATX Mid Tower,Acrylic,2833
62,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2834
63,ATX,MicroATX,MicroATX Mid Tower,Tempered Glass,2835
64,ATX,MicroATX,MicroATX Mid Tower,None,2836
65,ATX,MicroATX,MicroATX Desktop,Tempered Glass,2837
66,SFX,Mini ITX,HTPC,None,2838
67,ATX,ATX,ATX Mid Tower,Tempered Glass,2839
68,ATX,ATX,ATX Mid Tower,Tempered Glass,2840
69,ATX,ATX,ATX Mid Tower,Tempered Glass,2841
70,ATX,ATX,ATX Mid Tower,Tempered Glass,2842
71,ATX,ATX,ATX Mid Tower,None,2843
72,ATX,ATX,ATX Mid Tower,Tempered Glass,2844
73,ATX,ATX,ATX Mid Tower,Tempered Glass,2845
74,ATX,ATX,ATX Mid Tower,Tempered Glass,2846
75,ATX,ATX,ATX Mid Tower,Acrylic,2847
76,ATX,ATX,ATX Mid Tower,None,2848
77,ATX,ATX,ATX Mid Tower,Acrylic,2849
78,ATX,ATX,ATX Mid Tower,Acrylic,2850
79,ATX,ATX,ATX Mid Tower,Acrylic,2851
