id,brand,name,price,quantity
1,AMD,Ryzen 3 1200 (12nm),481.80,89
2,AMD,Ryzen 3 3100,1247.02,62
3,AMD,Ryzen 3 3200G,850.85,85
4,AMD,Ryzen 5 1600 (12nm),577.35,63
5,AMD,Ryzen 5 2600,768.90,25
6,AMD,Ryzen 5 2600X,832.15,96
7,AMD,Ryzen 5 3400G,1592.45,42
8,AMD,Ryzen 5 3500X,690.19,42
9,AMD,Ryzen 5 3600,841.70,1
10,AMD,Ryzen 5 3600X,1270.68,49
11,AMD,Ryzen 5 3600XT,1310.17,42
12,AMD,Ryzen 5 5600X,1501.05,15
13,AMD,Ryzen 7 2700,2001.55,32
14,AMD,Ryzen 7 2700X,1343.02,8
15,AMD,Ryzen 7 3700X,1364.95,25
16,AMD,Ryzen 7 3800X,1432.80,81
17,AMD,Ryzen 7 3800XT,1660.70,16
18,AMD,Ryzen 7 5800X,1933.75,42
19,AMD,Ryzen 9 3900X,1974.70,43
20,AMD,Ryzen 9 3900XT,2461.10,51
21,AMD,Ryzen 9 3950X,3348.98,76
22,AMD,Ryzen 9 5900X,3175.85,35
23,AMD,Ryzen 9 5950X,4076.75,58
24,AMD,Threadripper 3960X,6420.28,5
25,AMD,Threadripper 3970X,9757.57,55
26,AMD,Threadripper 3990X,19136.80,79
27,Intel,Celeron G5900,251.11,47
28,Intel,Celeron G5920,256.53,3
29,Intel,Core i3-10100,662.98,57
30,Intel,Core i3-10100F,520.61,58
31,Intel,Core i3-10300,677.68,70
32,Intel,Core i3-10320,668.35,94
33,Intel,Core i3-9100,823.55,34
34,Intel,Core i3-9100F,537.63,56
35,Intel,Core i3-9350K,1116.30,92
36,Intel,Core i3-9350KF,1102.65,60
37,Intel,Core i5-10400,813.27,74
38,Intel,Core i5-10400F,642.55,60
39,Intel,Core i5-10500,909.55,51
40,Intel,Core i5-10600,1015.06,1
41,Intel,Core i5-10600K,891.75,59
42,Intel,Core i5-10600KF,871.14,65
43,Intel,Core i5-11400,864.27,81
44,Intel,Core i5-11400F,800.12,62
45,Intel,Core i5-11500,1005.50,55
46,Intel,Core i5-11600K,1236.28,56
47,Intel,Core i5-11600KF,1126.08,53
48,Intel,Core i5-9400,782.69,30
49,Intel,Core i5-9400F,632.40,99
50,Intel,Core i5-9500,936.80,7
51,Intel,Core i5-9500F,836.52,83
52,Intel,Core i5-9600,850.35,92
53,Intel,Core i5-9600K,773.59,67
54,Intel,Core i5-9600KF,761.99,54
55,Intel,Core i7-10700,1305.35,9
56,Intel,Core i7-10700F,1273.50,72
57,Intel,Core i7-10700K,1489.99,48
58,Intel,Core i7-10700KF,1401.40,16
59,Intel,Core i7-11700,1581.08,79
60,Intel,Core i7-11700F,1962.69,55
61,Intel,Core i7-11700K,1892.75,92
62,Intel,Core i7-11700KF,1892.53,24
63,Intel,Core i7-9700,1264.49,100
64,Intel,Core i7-9700F,1023.25,94
65,Intel,Core i7-9700K,1176.90,17
66,Intel,Core i7-9700KF,1077.85,66
67,Intel,Core i9-10850K,1728.55,40
68,Intel,Core i9-10850KA,1763.03,73
69,Intel,Core i9-10900,1674.86,28
70,Intel,Core i9-10900F,1600.74,55
71,Intel,Core i9-10900K,2251.80,7
72,Intel,Core i9-10900KF,1997.40,86
73,Intel,Core i9-10900X,2624.30,61
74,Intel,Core i9-10920X,2917.23,36
75,Intel,Core i9-10940X,3350.39,18
76,Intel,Core i9-10980XE,4458.04,85
77,Intel,Core i9-11900,2074.12,8
78,Intel,Core i9-11900F,2035.17,51
79,Intel,Core i9-11900K,2988.85,37
80,Intel,Core i9-9900,1365.09,85
81,Intel,Core i9-9900K,1596.60,70
82,Intel,Core i9-9900KF,1319.50,82
83,Intel,Pentium Gold G6400,326.87,100
84,Intel,Pentium Gold G6500,414.51,22
85,Intel,Pentium Gold G6600,464.56,100
86,Alphacool,Eisbaer 240,468.60,14
87,Alphacool,Eisbaer 360,600.10,36
88,Alphacool,Eisbaer 420,611.47,2
89,Alphacool,Eisbaer Aurora 240,585.54,20
90,Alphacool,Eisbaer Aurora 280,659.25,37
91,Alphacool,Eisbaer Aurora 360,682.00,30
92,Alphacool,Eisbaer Aurora 420,773.64,57
93,Alphacool,Eisbaer LT240,424.01,24
94,Alphacool,Eisbaer LT360,491.81,28
95,ARCTIC,Freezer 13,318.41,46
96,ARCTIC,Freezer 33 eSports ONE,262.81,44
97,ARCTIC,Freezer 34,134.09,45
98,ARCTIC,Freezer 34 CO,139.96,50
99,ARCTIC,Freezer 34 eSports,152.38,11
100,ARCTIC,Freezer 34 eSports DUO,169.94,66
101,ARCTIC,Freezer 50,243.83,74
102,ARCTIC,Freezer 50 TR,288.70,2
103,ARCTIC,Freezer A13 X CO,100.05,40
104,ARCTIC,Freezer i13 X,106.20,76
105,ARCTIC,Freezer i13 X CO,118.57,42
106,ARCTIC,Liquid Freezer II 120,237.56,26
107,ARCTIC,Liquid Freezer II 240,356.72,83
108,ARCTIC,Liquid Freezer II 280,411.73,8
109,ARCTIC,Liquid Freezer II 360,466.10,96
110,ARCTIC,Liquid Freezer II 420,463.87,46
111,Asus,ROG Ryujin 240 RGB,954.27,92
112,Asus,ROG RYUJIN 360,1142.73,28
113,Asus,ROG RYUO 120 RGB,661.34,77
114,Asus,ROG RYUO 240 RGB,820.77,34
115,Asus,ROG Strix LC 240,687.28,64
116,Asus,ROG Strix LC 360,939.07,43
117,be quiet!,Dark Rock 3,336.70,43
118,be quiet!,Dark Rock 4,277.10,76
119,be quiet!,Dark Rock Pro 4,349.90,12
120,be quiet!,Dark Rock Pro TR4,307.44,49
121,be quiet!,Dark Rock Slim,231.69,25
122,be quiet!,Dark Rock TF,309.35,49
123,be quiet!,Pure Loop 240,409.45,15
124,be quiet!,Pure Loop 280,434.84,27
125,be quiet!,Pure Loop 360,500.05,28
126,be quiet!,Pure Rock 2,172.17,62
127,be quiet!,Pure Rock Slim,106.88,94
128,Cooler Master,MasterLiquid Lite 240,228.32,65
129,Cooler Master,Eisberg 120L Prestige,1443.08,16
130,Cooler Master,Hyper 103,123.49,13
131,Cooler Master,Hyper 212 EVO V2,158.98,20
132,Cooler Master,Hyper 212 LED,168.26,14
133,Cooler Master,Hyper 212 RGB Black Edition,226.77,71
134,Cooler Master,Hyper 412S,293.38,14
135,Cooler Master,Hyper H411R,136.45,44
136,Cooler Master,Hyper H412R,107.02,36
137,Cooler Master,Hyper TX3,109.15,44
138,Cooler Master,Hyper TX3 Evo,109.15,6
139,Cooler Master,MA621P TR4,240.47,41
140,Cooler Master,MasterAir MA410M,249.75,57
141,Cooler Master,MasterAir MA410P,154.06,36
142,Cooler Master,MasterAir MA610P,264.04,41
143,Cooler Master,MASTERAIR MA620M,440.53,74
144,Cooler Master,MasterAir Pro 4,215.22,91
145,Cooler Master,MasterLiquid 120,314.45,75
146,Cooler Master,MasterLiquid 240,300.03,55
147,Cooler Master,MasterLiquid Lite 120,181.55,14
148,Cooler Master,MasterLiquid ML120L RGB,276.78,51
149,Cooler Master,MASTERLIQUID ML240L RGB V2,316.82,84
150,Cooler Master,MasterLiquid ML360 RGB TR4 Edition,520.75,99
151,Cooler Master,MasterLiquid ML360R RGB,450.45,15
152,Cooler Master,MasterLiquid Pro 140,713.03,76
153,Cooler Master,Wraith Ripper,500.23,91
154,Corsair,A500,330.47,41
155,Corsair,H100i PRO,773.18,84
156,Corsair,H100i RGB PLATINUM,729.59,20
157,Corsair,H100i v2,788.56,80
158,Corsair,H115i PRO,605.74,38
159,Corsair,H60 (2018),353.17,7
160,Corsair,H75 2018,350.35,76
161,Corsair,H80i GT,1002.87,91
162,Corsair,H80i v2,451.18,46
163,Corsair,iCUE H150i ELITE CAPELLIX,828.46,31
164,Corsair,iCUE H150i RGB PRO XT,695.60,57
165,Deepcool,AS500,304.62,41
166,Deepcool,CAPTAIN 120EX RGB,510.15,67
167,Deepcool,CASTLE 240EX,498.63,40
168,Deepcool,Castle 280 RGB,804.44,36
169,Deepcool,CASTLE 360EX,643.83,82
170,Deepcool,Fryzen,395.35,81
171,Deepcool,GAMMAXX 400,113.70,69
172,Deepcool,GAMMAXX GTE V2,163.57,84
173,Deepcool,GAMMAXX L240,363.91,63
174,Deepcool,GAMMAXX L240 V2,327.10,7
175,Deepcool,Neptwin RGB,213.80,90
176,EVGA,CLC 120,289.43,75
177,EVGA,CLC 240,436.53,12
178,EVGA,CLC 280,482.03,78
179,EVGA,CLC 360,568.70,45
180,Fractal Design,Celsius S24,595.55,10
181,Fractal Design,Celsius S36,606.92,95
182,Fractal Design,Kelvin S24,644.23,91
183,Fractal Design,Kelvin T12,427.65,99
184,Gigabyte,AORUS LIQUID COOLER 280,750.30,4
185,Gigabyte,AORUS LIQUID COOLER 360,1062.56,53
186,Lian Li,GALAHAD AIO 240 RGB,572.80,23
187,Lian Li,GALAHAD AIO 360 RGB,709.30,87
188,Noctua,NH-C14S,340.80,63
189,Noctua,NH-D14,318.05,51
190,Noctua,NH-D15,409.45,4
191,Noctua,NH-D15 CHROMAX.BLACK,454.55,7
192,Noctua,NH-D15S,347.62,91
193,Noctua,NH-D9L,227.05,72
194,Noctua,NH-L12S,222.54,70
195,Noctua,NH-L9i,181.55,35
196,Noctua,NH-U12A,454.55,18
197,Noctua,NH-U12S,299.57,2
198,Noctua,NH-U14S,349.85,30
199,Noctua,NH-U14S TR4-SP3,363.55,5
200,Noctua,NH-U9 TR4-SP3,318.05,15
201,Noctua,NH-U9S,288.42,4
202,NZXT,Kraken M22,345.71,8
203,NZXT,Kraken X53,568.70,35
204,NZXT,Kraken Z63,1046.45,62
205,NZXT,Kraken Z73,1164.75,98
206,Scythe,Ashura,222.95,64
207,Scythe,FUMA 2,277.05,50
208,Scythe,Katana 5,149.15,6
209,Scythe,Kotetsu,396.58,100
210,Scythe,Mugen 5,336.20,99
211,Scythe,Mugen MAX,208.85,77
212,Scythe,Ninja 5,227.45,59
213,SilentiumPC,Fera 3 EVO ARGB,172.85,66
214,SilentiumPC,Fortis 3 HE1425,159.20,77
215,SilentiumPC,Navis RGB 120,267.95,29
216,SilentiumPC,Navis RGB 240,318.05,35
217,SilentiumPC,Navis RGB 280,363.55,37
218,SilentiumPC,Navis RGB 360,431.80,36
219,Thermaltake,Contac Silent 12,131.90,36
220,Thermaltake,Floe Riing RGB 240 TT Premium Edition,750.30,8
221,Thermaltake,Floe Riing RGB 280 TT Premium Edition,839.11,48
222,Thermaltake,Floe Riing RGB 360 TT Premium Edition,963.24,83
223,Thermaltake,Frio OCK,778.19,31
224,Thermaltake,TH120 ARGB Sync,337.75,46
225,Thermaltake,UX200 ARGB,150.10,45
226,Thermaltake,Water 3.0 120 ARGB Sync,486.35,97
227,Thermaltake,Water 3.0 240 ARGB Sync,636.55,86
228,Thermaltake,Water 3.0 360 ARGB Sync Edition,704.80,97
229,Asus,ROG Crosshair VIII Dark Hero,484.39,33
230,Asus,ROG Crosshair VIII Formula,568.09,14
231,Asus,ROG Crosshair VIII Hero,425.00,52
232,Asus,ROG Crosshair VIII Hero (WI-FI),435.89,90
233,Gigabyte,X570 AORUS MASTER,330.86,57
234,MSI,MAG X570 TOMAHAWK WIFI,212.49,60
235,ASRock,X570 CREATOR,487.65,75
236,Asus,ROG Strix X570-E Gaming,302.88,89
237,MSI,MEG X570 ACE,347.42,13
238,MSI,MEG X570 UNIFY,292.39,18
239,ASRock,X570 Phantom Gaming X,345.34,77
240,ASRock,X570 Taichi,283.56,78
241,Asus,ROG Strix X570-F Gaming,233.02,59
242,Asus,TUF GAMING X570-PLUS,195.94,13
243,Asus,TUF GAMING X570-PLUS (WI-FI),203.02,1
244,Asus,PRIME X570-P,157.02,25
245,Gigabyte,X570 AORUS PRO,205.33,61
246,Gigabyte,X570 AORUS ULTRA,275.94,57
247,ASRock,X570 PHANTOM GAMING-ITX/TB3,229.15,66
248,Asus,ROG Strix X570-I Gaming,279.00,92
249,Asus,TUF B450M-PRO GAMING,90.64,17
250,ASRock,X570 Steel Legend,211.34,55
251,ASRock,X470 Taichi,291.20,69
252,ASRock,X470 Taichi Ultimate,363.03,95
253,Gigabyte,X570 AORUS ELITE,181.99,70
254,Gigabyte,X570 AORUS ELITE WIFI,245.08,22
255,MSI,X470 GAMING M7 AC,272.39,2
256,ASRock,X570 Extreme4,240.94,6
257,Gigabyte,X570 I AORUS PRO WIFI,199.99,67
258,ASRock,X570 Pro4,144.99,88
259,ASRock,X570M Pro4,178.88,30
260,Gigabyte,X570 GAMING X,152.90,77
261,Gigabyte,X570 UD,187.52,82
262,MSI,B450 GAMING PRO CARBON AC,259.00,29
263,MSI,B450 GAMING PRO CARBON MAX WIFI,129.90,57
264,MSI,B450 TOMAHAWK,79.00,8
265,MSI,B450 TOMAHAWK MAX,89.00,65
266,MSI,B450 TOMAHAWK MAX II,97.99,21
267,MSI,B450M BAZOOKA MAX WIFI,117.46,46
268,MSI,B450M MORTAR,92.37,27
269,ASRock,B550 PG Velocita,191.49,85
270,ASRock,B550 Phantom Gaming 4,105.02,22
271,ASRock,B550 Phantom Gaming 4/ac,116.60,85
272,ASRock,B550 Phantom Gaming-ITX/ax,197.49,87
273,ASRock,B550 Pro4,129.15,10
274,ASRock,B550 Steel Legend,174.56,53
275,ASRock,B550 Taichi,277.55,28
276,ASRock,B550M Phantom Gaming 4,92.63,84
277,ASRock,B550M Pro4,104.96,2
278,ASRock,B550M Steel Legend,132.08,8
279,ASRock,B550M-ITX/ac,129.22,43
280,Asus,PRIME B550-PLUS,134.90,48
281,Asus,PRIME B550M-A,106.58,89
282,Asus,PRIME B550M-A (WI-FI),124.90,92
283,Asus,PRIME B550M-A/CSM,122.88,26
284,Asus,PRIME B550M-K,100.00,6
285,Asus,ROG STRIX B550-A GAMING,157.02,4
286,Asus,ROG STRIX B550-E GAMING,218.00,49
287,Asus,ROG STRIX B550-F GAMING,172.94,49
288,Asus,ROG STRIX B550-F GAMING (WI-FI),180.59,89
289,Asus,ROG STRIX B550-I GAMING,199.90,9
290,Asus,TUF GAMING B550-PLUS,138.02,80
291,Asus,TUF GAMING B550-PLUS (WI-FI),149.02,63
292,Asus,TUF GAMING B550M-PLUS,131.69,58
293,Asus,TUF GAMING B550M-PLUS (WI-FI),147.90,28
294,Gigabyte,B550 AORUS ELITE,147.16,51
295,Gigabyte,B550 AORUS ELITE AX,166.37,51
296,Gigabyte,B550 AORUS ELITE AX V2,166.37,89
297,Gigabyte,B550 AORUS ELITE V2,140.94,78
