id,capacity_gb,tier,type,form_factor,storage_interface,product_fk
1,256,3,NVMe,M.2-2280,M.2 (M),1256
2,512,3,NVMe,M.2-2280,M.2 (M),1257
3,1000,3,NVMe,M.2-2280,M.2 (M),1258
4,480,7,SSD,"2.5""",SATA 6 Gb/s,1259
5,960,7,SSD,"2.5""",SATA 6 Gb/s,1260
6,2000,5,SSD,"2.5""",SATA 6 Gb/s,1261
7,256,5,SSD,M.2-2280,M.2 (B+M),1262
8,512,5,SSD,M.2-2280,M.2 (B+M),1263
9,1000,5,SSD,M.2-2280,M.2 (B+M),1264
10,500,4,NVMe,M.2-2280,M.2 (M),1265
11,1000,4,NVMe,M.2-2280,M.2 (M),1266
12,2000,4,NVMe,M.2-2280,M.2 (M),1267
13,480,6,SSD,"2.5""",SATA 6 Gb/s,1268
14,960,6,SSD,"2.5""",SATA 6 Gb/s,1269
15,256,5,SSD,"2.5""",SATA 6 Gb/s,1270
16,512,5,SSD,"2.5""",SATA 6 Gb/s,1271
17,1000,5,SSD,"2.5""",SATA 6 Gb/s,1272
18,960,3,NVMe,M.2-2280,M.2 (M),1273
19,256,2,NVMe,M.2-2280,M.2 (M),1274
20,512,2,NVMe,M.2-2280,M.2 (M),1275
21,1000,2,NVMe,M.2-2280,M.2 (M),1276
22,2000,2,NVMe,M.2-2280,M.2 (M),1277
23,256,4,NVMe,M.2-2280,M.2 (M),1278
24,512,4,NVMe,M.2-2280,M.2 (M),1279
25,1000,4,NVMe,M.2-2280,M.2 (M),1280
26,1000,1,NVMe,M.2-2280,M.2 (M),1281
27,2000,1,NVMe,M.2-2280,M.2 (M),1282
28,1000,2,NVMe,M.2-2280,M.2 (M),1283
29,2000,2,NVMe,M.2-2280,M.2 (M),1284
30,1000,2,NVMe,M.2-2280,M.2 (M),1285
31,2000,2,NVMe,M.2-2280,M.2 (M),1286
32,256,2,NVMe,M.2-2280,M.2 (M),1287
33,512,2,NVMe,M.2-2280,M.2 (M),1288
34,1000,2,NVMe,M.2-2280,M.2 (M),1289
35,2000,2,NVMe,M.2-2280,M.2 (M),1290
36,256,5,NVMe,M.2-2280,M.2 (M),1291
37,512,5,NVMe,M.2-2280,M.2 (M),1292
38,256,4,NVMe,M.2-2280,M.2 (M),1293
39,512,4,NVMe,M.2-2280,M.2 (M),1294
40,1000,4,NVMe,M.2-2280,M.2 (M),1295
41,512,2,NVMe,M.2-2280,M.2 (M),1296
42,1000,2,NVMe,M.2-2280,M.2 (M),1297
43,2000,2,NVMe,M.2-2280,M.2 (M),1298
44,256,2,NVMe,M.2-2280,M.2 (M),1299
45,512,2,NVMe,M.2-2280,M.2 (M),1300
46,1000,2,NVMe,M.2-2280,M.2 (M),1301
47,2000,2,NVMe,M.2-2280,M.2 (M),1302
48,500,1,NVMe,M.2-2280,M.2 (M),1303
49,1000,1,NVMe,M.2-2280,M.2 (M),1304
50,480,4,NVMe,M.2-2280,M.2 (M),1305
51,1000,3,NVMe,M.2-2280,M.2 (M),1306
52,2000,3,NVMe,M.2-2280,M.2 (M),1307
53,4000,3,NVMe,M.2-2280,M.2 (M),1308
54,8000,3,NVMe,M.2-2280,M.2 (M),1309
55,480,2,NVMe,M.2-2280,M.2 (M),1310
56,960,2,NVMe,M.2-2280,M.2 (M),1311
57,1920,2,NVMe,M.2-2280,M.2 (M),1312
58,4000,2,NVMe,M.2-2280,M.2 (M),1313
59,1000,1,NVMe,M.2-2280,M.2 (M),1314
60,2000,1,NVMe,M.2-2280,M.2 (M),1315
61,4000,1,NVMe,M.2-2280,M.2 (M),1316
62,500,1,NVMe,M.2-2280,M.2 (M),1317
63,1000,1,NVMe,M.2-2280,M.2 (M),1318
64,2000,1,NVMe,M.2-2280,M.2 (M),1319
65,1000,1,NVMe,M.2-2280,M.2 (M),1320
66,2000,1,NVMe,M.2-2280,M.2 (M),1321
67,480,6,SSD,"2.5""",SATA 6 Gb/s,1322
68,1000,6,SSD,"2.5""",SATA 6 Gb/s,1323
69,960,6,SSD,"2.5""",SATA 6 Gb/s,1324
70,2000,6,SSD,"2.5""",SATA 6 Gb/s,1325
71,480,5,SSD,M.2-2280,M.2 (B+M),1326
72,500,5,SSD,"2.5""",SATA 6 Gb/s,1327
73,1000,5,SSD,"2.5""",SATA 6 Gb/s,1328
74,2000,5,SSD,"2.5""",SATA 6 Gb/s,1329
75,500,4,NVMe,M.2-2280,M.2 (M),1330
76,1000,4,NVMe,M.2-2280,M.2 (M),1331
77,2000,4,NVMe,M.2-2280,M.2 (M),1332
78,500,4,NVMe,M.2-2280,M.2 (M),1333
79,1000,4,NVMe,M.2-2280,M.2 (M),1334
80,2000,4,NVMe,M.2-2280,M.2 (M),1335
81,500,3,NVMe,M.2-2280,M.2 (M),1336
82,1000,3,NVMe,M.2-2280,M.2 (M),1337
83,2000,3,NVMe,M.2-2280,M.2 (M),1338
84,500,1,NVMe,M.2-2280,M.2 (M),1339
85,1000,1,NVMe,M.2-2280,M.2 (M),1340
86,2000,1,NVMe,M.2-2280,M.2 (M),1341
87,256,5,SSD,"2.5""",SATA 6 Gb/s,1342
88,512,5,SSD,"2.5""",SATA 6 Gb/s,1343
89,1000,3,NVMe,M.2-2280,M.2 (M),1344
90,256,5,SSD,"2.5""",SATA 6 Gb/s,1345
91,512,5,SSD,M.2-2280,M.2 (B+M),1346
92,512,4,NVMe,M.2-2280,M.2 (M),1347
93,1000,4,NVMe,M.2-2280,M.2 (M),1348
94,2000,4,NVMe,M.2-2280,M.2 (M),1349
95,1000,4,NVMe,M.2-2280,M.2 (M),1350
96,2000,4,NVMe,M.2-2280,M.2 (M),1351
97,256,3,NVMe,M.2-2280,M.2 (M),1352
98,512,3,NVMe,M.2-2280,M.2 (M),1353
99,2000,3,NVMe,M.2-2280,M.2 (M),1354
100,500,4,NVMe,M.2-2280,M.2 (M),1355
101,1000,4,NVMe,M.2-2280,M.2 (M),1356
102,480,7,SSD,"2.5""",SATA 6 Gb/s,1357
103,960,7,SSD,"2.5""",SATA 6 Gb/s,1358
104,1920,7,SSD,"2.5""",SATA 6 Gb/s,1359
105,480,7,SSD,"2.5""",SATA 6 Gb/s,1360
106,500,2,NVMe,M.2-2280,M.2 (M),1361
107,1000,2,NVMe,M.2-2280,M.2 (M),1362
108,500,2,NVMe,M.2-2280,M.2 (M),1363
109,1000,2,NVMe,M.2-2280,M.2 (M),1364
110,2000,2,NVMe,M.2-2280,M.2 (M),1365
111,256,5,SSD,"2.5""",SATA 6 Gb/s,1366
112,512,5,SSD,"2.5""",SATA 6 Gb/s,1367
113,480,7,SSD,"2.5""",SATA 6 Gb/s,1368
114,960,7,SSD,"2.5""",SATA 6 Gb/s,1369
115,1920,6,SSD,"2.5""",SATA 6 Gb/s,1370
116,960,6,SSD,"2.5""",SATA 6 Gb/s,1371
117,480,6,SSD,M.2-2280,M.2 (B+M),1372
118,480,6,SSD,"2.5""",SATA 6 Gb/s,1373
119,960,6,SSD,"2.5""",SATA 6 Gb/s,1374
120,256,4,NVMe,M.2-2280,M.2 (M),1375
121,512,4,NVMe,M.2-2280,M.2 (M),1376
122,1000,4,NVMe,M.2-2280,M.2 (M),1377
123,2000,4,NVMe,M.2-2280,M.2 (M),1378
124,1000,1,NVMe,M.2-2280,M.2 (M),1379
125,2000,1,NVMe,M.2-2280,M.2 (M),1380
126,256,2,NVMe,M.2-2280,M.2 (M),1381
127,512,2,NVMe,M.2-2280,M.2 (M),1382
128,1000,2,NVMe,M.2-2280,M.2 (M),1383
129,2000,2,NVMe,M.2-2280,M.2 (M),1384
130,256,2,NVMe,M.2-2280,M.2 (M),1385
131,512,2,NVMe,M.2-2280,M.2 (M),1386
132,1000,2,NVMe,M.2-2280,M.2 (M),1387
133,500,2,NVMe,M.2-2280,M.2 (M),1388
134,1000,2,NVMe,M.2-2280,M.2 (M),1389
135,2000,2,NVMe,M.2-2280,M.2 (M),1390
136,500,6,SSD,"2.5""",SATA 6 Gb/s,1391
137,480,6,SSD,"2.5""",SATA 6 Gb/s,1392
138,960,6,SSD,"2.5""",SATA 6 Gb/s,1393
139,1000,6,SSD,"2.5""",SATA 6 Gb/s,1394
140,500,2,NVMe,M.2-2280,M.2 (M),1395
141,1000,2,NVMe,M.2-2280,M.2 (M),1396
142,2000,2,NVMe,M.2-2280,M.2 (M),1397
143,256,4,SSD,"2.5""",SATA 6 Gb/s,1398
144,1000,5,SSD,"2.5""",SATA 6 Gb/s,1399
145,4000,5,SSD,"2.5""",SATA 6 Gb/s,1400
146,500,5,SSD,M.2-2280,M.2 (B+M),1401
147,2000,5,SSD,M.2-2280,M.2 (B+M),1402
148,256,4,SSD,"2.5""",SATA 6 Gb/s,1403
149,512,4,SSD,"2.5""",SATA 6 Gb/s,1404
150,1000,4,SSD,"2.5""",SATA 6 Gb/s,1405
151,2000,4,SSD,"2.5""",SATA 6 Gb/s,1406
152,4000,4,SSD,"2.5""",SATA 6 Gb/s,1407
153,1000,5,SSD,"2.5""",SATA 6 Gb/s,1408
154,2000,5,SSD,"2.5""",SATA 6 Gb/s,1409
155,500,5,SSD,"2.5""",SATA 6 Gb/s,1410
156,1000,5,SSD,"2.5""",SATA 6 Gb/s,1411
157,2000,5,SSD,"2.5""",SATA 6 Gb/s,1412
158,4000,5,SSD,"2.5""",SATA 6 Gb/s,1413
159,8000,5,SSD,"2.5""",SATA 6 Gb/s,1414
160,500,2,NVMe,M.2-2280,M.2 (M),1415
161,1000,2,NVMe,M.2-2280,M.2 (M),1416
162,2000,2,NVMe,M.2-2280,M.2 (M),1417
163,500,2,NVMe,M.2-2280,M.2 (M),1418
164,1000,2,NVMe,M.2-2280,M.2 (M),1419
165,2000,2,NVMe,M.2-2280,M.2 (M),1420
166,512,1,NVMe,M.2-2280,M.2 (M),1421
167,1000,1,NVMe,M.2-2280,M.2 (M),1422
168,500,1,NVMe,M.2-2280,M.2 (M),1423
169,1000,1,NVMe,M.2-2280,M.2 (M),1424
170,1000,8,5400RPM,"3.5""",SATA 3 Gb/s,1425
171,1000,8,7200RPM,"3.5""",SATA 3 Gb/s,1426
172,1000,8,5400RPM,"3.5""",SATA 3 Gb/s,1427
173,1000,8,7200RPM,"3.5""",SATA 3 Gb/s,1428
174,1000,8,5400RPM,"3.5""",SATA 3 Gb/s,1429
175,1000,8,7200RPM,"3.5""",SATA 3 Gb/s,1430
176,1000,8,5400RPM,"2.5""",SATA 3 Gb/s,1431
177,960,5,SSD,"2.5""",SATA 6 Gb/s,1432
178,500,2,NVMe,M.2-2280,M.2 (M),1433
179,1000,2,NVMe,M.2-2280,M.2 (M),1434
180,480,7,SSD,"2.5""",SATA 6 Gb/s,1435
181,1000,7,SSD,"2.5""",SATA 6 Gb/s,1436
182,2000,7,SSD,"2.5""",SATA 6 Gb/s,1437
183,500,5,SSD,"2.5""",SATA 6 Gb/s,1438
184,1000,5,SSD,"2.5""",SATA 6 Gb/s,1439
185,2000,5,SSD,"2.5""",SATA 6 Gb/s,1440
186,4000,5,SSD,"2.5""",SATA 6 Gb/s,1441
187,480,6,SSD,"2.5""",SATA 6 Gb/s,1442
188,960,6,SSD,"2.5""",SATA 6 Gb/s,1443
189,1000,8,7200RPM,"3.5""",SATA 6 Gb/s,1444
190,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1445
191,1500,8,7200RPM,"3.5""",SATA 3 Gb/s,1446
192,3000,8,7200RPM,"3.5""",SATA 6 Gb/s,1447
193,4000,8,5400RPM,"3.5""",SATA 6 Gb/s,1448
194,6000,8,5400RPM,"3.5""",SATA 6 Gb/s,1449
195,5000,8,5400RPM,"2.5""",SATA 6 Gb/s,1450
196,500,2,NVMe,M.2-2280,M.2 (M),1451
197,1000,2,NVMe,M.2-2280,M.2 (M),1452
198,3000,8,5400RPM,"3.5""",SATA 6 Gb/s,1453
199,4000,8,5400RPM,"3.5""",SATA 6 Gb/s,1454
200,6000,8,5400RPM,"3.5""",SATA 6 Gb/s,1455
201,8000,8,5400RPM,"3.5""",SATA 6 Gb/s,1456
202,1000,8,7200RPM,"3.5""",SATA 3 Gb/s,1457
203,10000,8,7200RPM,"3.5""",SATA 6 Gb/s,1458
204,8000,8,7200RPM,"3.5""",SATA 6 Gb/s,1459
205,12000,8,7200RPM,"3.5""",SATA 6 Gb/s,1460
206,14000,8,7200RPM,"3.5""",SATA 6 Gb/s,1461
207,1000,8,7200RPM,"2.5""",SATA 6 Gb/s,1462
208,12000,8,7200RPM,"3.5""",SATA 6 Gb/s,1463
209,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1464
210,1000,8,7200RPM,"3.5""",SATA 6 Gb/s,1465
211,3000,8,7200RPM,"3.5""",SATA 6 Gb/s,1466
212,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1467
213,1000,8,7200RPM,"3.5""",SATA 6 Gb/s,1468
214,1000,8,7200RPM,"3.5""",SATA 3 Gb/s,1469
215,2000,8,7200RPM,"3.5""",SATA 3 Gb/s,1470
216,3000,8,7200RPM,"3.5""",SATA 6 Gb/s,1471
217,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1472
218,3000,8,7200RPM,"3.5""",SATA 6 Gb/s,1473
219,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1474
220,4000,8,7200RPM,"3.5""",SATA 6 Gb/s,1475
221,1000,8,7200RPM,"2.5""",SATA 6 Gb/s,1476
222,12000,8,7200RPM,"3.5""",SATA 6 Gb/s,1477
223,3000,8,7200RPM,"3.5""",SATA 6 Gb/s,1478
224,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1479
225,1000,8,7200RPM,"2.5""",SATA 6 Gb/s,1480
226,4000,8,7200RPM,"3.5""",SATA 6 Gb/s,1481
227,10000,8,7200RPM,"3.5""",SATA 6 Gb/s,1482
228,8000,8,7200RPM,"3.5""",SATA 6 Gb/s,1483
229,6000,8,7200RPM,"3.5""",SATA 6 Gb/s,1484
230,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1485
231,4000,8,7200RPM,"3.5""",SATA 6 Gb/s,1486
232,2000,8,7200RPM,"3.5""",SATA 6 Gb/s,1487
233,4000,8,7200RPM,"3.5""",SATA 6 Gb/s,1488
234,6000,8,7200RPM,"3.5""",SATA 6 Gb/s,1489
235,8000,8,7200RPM,"3.5""",SATA 6 Gb/s,1490
236,14000,8,7200RPM,"3.5""",SATA 6 Gb/s,1491
237,1000,8,7200RPM,"2.5""",SATA 6 Gb/s,1492
238,16000,8,7200RPM,"3.5""",SATA 6 Gb/s,1493
239,18000,8,7200RPM,"3.5""",SATA 6 Gb/s,1494
240,10000,8,7200RPM,"3.5""",SATA 6 Gb/s,1495
241,12000,8,7200RPM,"3.5""",SATA 6 Gb/s,1496
242,10000,8,7200RPM,"3.5""",SATA 6 Gb/s,1497
243,12000,8,7200RPM,"3.5""",SATA 6 Gb/s,1498
