id,tier,noise_level_db,is_air,is_workstation,product_fk
1,1,29,0,0,86
2,1,29,0,0,87
3,1,30,0,0,88
4,1,29.4,0,0,89
5,1,29.4,0,0,90
6,1,29.4,0,0,91
7,1,29.4,0,0,92
8,1,29,0,0,93
9,1,29,0,0,94
10,6,22.5,1,0,95
11,5,24.4,1,0,96
12,6,24.4,1,0,97
13,6,24.4,1,0,98
14,6,24.4,1,0,99
15,5,24.4,1,0,100
16,2,23.5,1,0,101
17,2,23.5,1,1,102
18,7,22.5,1,0,103
19,7,22.5,1,0,104
20,7,22.5,1,0,105
21,2,35.8,0,0,106
22,1,35.8,0,0,107
23,1,35.8,0,0,108
24,1,35.8,0,0,109
25,1,35.8,0,0,110
26,1,29.7,0,0,111
27,1,29.7,0,0,112
28,4,37,0,0,113
29,2,37,0,0,114
30,1,37.6,0,0,115
31,1,37.6,0,0,116
32,5,21.1,1,0,117
33,5,21.1,1,0,118
34,3,24.3,1,0,119
35,3,24.3,1,1,120
36,5,23.6,1,0,121
37,5,26.7,1,0,122
38,2,39.5,0,0,123
39,2,38.1,0,0,124
40,1,40.5,0,0,125
41,7,26.8,1,0,126
42,8,25.4,1,0,127
43,3,30,0,0,128
44,3,20.5,0,0,129
45,8,30,1,0,130
46,5,27,1,0,131
47,6,31,1,0,132
48,6,30,1,0,133
49,7,22.5,1,0,134
50,8,29.4,1,0,135
51,8,29.4,1,0,136
52,8,35,1,0,137
53,8,35,1,0,138
54,4,31,1,1,139
55,7,31,1,0,140
56,7,30,1,0,141
57,5,35,1,0,142
58,5,30,1,0,143
59,6,30,1,0,144
60,5,30,0,0,145
61,3,30,0,0,146
62,5,30,0,0,147
63,5,30,0,0,148
64,3,27,0,0,149
65,1,30,0,1,150
66,1,34,0,0,151
67,2,30,0,0,152
68,3,38,1,1,153
69,2,36,0,0,154
70,2,37,0,0,155
71,2,37,0,0,156
72,2,37.7,0,0,157
73,1,20.4,0,1,158
74,4,28.3,0,0,159
75,4,31,0,0,160
76,5,37.7,0,1,161
77,5,37.7,0,1,162
78,1,37,0,0,163
79,1,37,0,0,164
80,4,29.2,1,0,165
81,2,31.3,0,0,166
82,2,32.1,0,0,167
83,4,35.4,0,1,168
84,2,32.1,0,0,169
85,4,41.5,1,1,170
86,5,32.1,1,0,171
87,6,27.8,1,0,172
88,3,17.8,0,0,173
89,3,30,0,0,174
90,5,27,1,0,175
91,5,39.9,0,0,176
92,1,39.9,0,0,177
93,1,39.5,0,0,178
94,1,39.9,0,0,179
95,2,32.2,0,0,180
96,1,32.2,0,1,181
97,2,26.9,0,0,182
98,2,26.9,0,0,183
99,1,44.5,0,0,184
100,1,39.5,0,0,185
101,2,30.1,0,0,186
102,1,30.1,0,0,187
103,3,24.6,1,0,188
104,3,19.8,1,0,189
105,2,24.6,1,0,190
106,2,24.6,1,0,191
107,3,24.6,1,0,192
108,8,22.8,1,0,193
109,8,23.9,1,0,194
110,9,23.6,1,0,195
111,3,22.6,1,0,196
112,5,22.4,1,0,197
113,4,24.6,1,0,198
114,2,24.6,1,1,199
115,5,22.8,1,1,200
116,7,22.8,1,0,201
117,5,36,0,0,202
118,2,36,0,0,203
119,1,38,0,0,204
120,1,36,0,0,205
121,4,30.7,1,0,206
122,3,24.9,1,0,207
123,7,8.83,1,0,208
124,5,28,1,0,209
125,4,9.75,1,0,210
126,4,30.7,1,0,211
127,4,14.5,1,0,212
128,6,22,1,0,213
129,5,22,1,0,214
130,4,22,0,0,215
131,2,22,0,0,216
132,2,22,0,0,217
133,1,22,0,0,218
134,7,28.8,1,0,219
135,4,24.7,0,1,220
136,4,27.2,0,1,221
137,4,24.7,0,1,222
138,3,48,1,0,223
139,5,28.2,0,0,224
140,8,6.33,1,0,225
141,5,25.8,0,0,226
142,1,25.8,0,0,227
143,1,25.8,0,1,228
