id,brand,name,price,quantity,image
1,AMD,Ryzen 3 1200 (12nm),479,89,https://cdna.pcpartpicker.com/static/forever/images/product/2718f93893c0e844d4eb23c81d86b009.256p.jpg
2,AMD,Ryzen 3 3100,499,62,https://cdna.pcpartpicker.com/static/forever/images/product/614673693f9281d17b521cbf52799c68.256p.jpg
3,AMD,Ryzen 3 3200G,849,85,https://cdna.pcpartpicker.com/static/forever/images/product/1367e7b7cd727836ed3685b95c2be94e.256p.jpg
4,AMD,Ryzen 5 1600 (12nm),579,63,https://cdna.pcpartpicker.com/static/forever/images/product/2447958ccca245b5827bf05929f870e6.256p.jpg
5,AMD,Ryzen 5 2600,769,25,https://m.media-amazon.com/images/I/41udj4y0KQL.jpg
6,AMD,Ryzen 5 2600X,829,96,https://cdna.pcpartpicker.com/static/forever/images/product/bd22e4deac30110021a64d9c7f9b8944.256p.jpg
7,AMD,Ryzen 5 3400G,1589,42,https://cdna.pcpartpicker.com/static/forever/images/product/fd7b679a51670fc1161384cf95ba464f.256p.jpg
8,AMD,Ryzen 5 3500X,689,42,https://cdna.pcpartpicker.com/static/forever/images/product/7f766d0fb14c24f0cd101da14ec6d0a0.256p.jpg
9,AMD,Ryzen 5 3600,839,1,https://cdna.pcpartpicker.com/static/forever/images/product/1c98c8fccc44a3696129e74df5243312.256p.jpg
10,AMD,Ryzen 5 3600X,1269,49,https://cdna.pcpartpicker.com/static/forever/images/product/fd7b679a51670fc1161384cf95ba464f.256p.jpg
11,AMD,Ryzen 5 3600XT,1309,42,https://cdna.pcpartpicker.com/static/forever/images/product/16ddfc2028922cd20cffaa6976165f84.256p.jpg
12,AMD,Ryzen 5 5600X,1399,15,https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg
13,AMD,Ryzen 7 2700,599,32,https://images-eu.ssl-images-amazon.com/images/I/51b8eCD%2BcBL.jpg
14,AMD,Ryzen 7 2700X,649,8,https://cdna.pcpartpicker.com/static/forever/images/product/4e84967ef18c9b42e543b58c836d73ef.256p.jpg
15,AMD,Ryzen 7 3700X,1359,25,https://cdna.pcpartpicker.com/static/forever/images/product/e729f016407018e8894b7db7eac671e8.256p.jpg
16,AMD,Ryzen 7 3800X,1429,81,https://cdna.pcpartpicker.com/static/forever/images/product/1c98c8fccc44a3696129e74df5243312.256p.jpg
17,AMD,Ryzen 7 3800XT,1659,16,https://cdna.pcpartpicker.com/static/forever/images/product/7d225094c05f3106b9e7aab3873a6631.256p.jpg
18,AMD,Ryzen 7 5800X,1929,42,https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg
19,AMD,Ryzen 9 3900X,1969,43,https://cdna.pcpartpicker.com/static/forever/images/product/24ff507103b5ff52377621b24930dddd.256p.jpg
20,AMD,Ryzen 9 3900XT,2459,51,https://cdna.pcpartpicker.com/static/forever/images/product/bb4c0b72e3f78893b1e5b19ab570b2c1.256p.jpg
21,AMD,Ryzen 9 3950X,3349,76,https://cdna.pcpartpicker.com/static/forever/images/product/5b4809210442c8dc43c9f1f5c14370ea.256p.jpg
22,AMD,Ryzen 9 5900X,3179,35,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg
23,AMD,Ryzen 9 5950X,4079,58,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg
24,AMD,Threadripper 3960X,6799,5,https://cdna.pcpartpicker.com/static/forever/images/product/3ada9b0ee52763b884f3f76b681846ad.256p.jpg
25,AMD,Threadripper 3970X,9999,55,https://cdna.pcpartpicker.com/static/forever/images/product/f2cacb6e0f6003d798989357654aff3c.256p.jpg
26,AMD,Threadripper 3990X,18499,79,https://cdna.pcpartpicker.com/static/forever/images/product/7e2e7fecadc261c89c70cf3965a97a28.256p.jpg
27,Intel,Celeron G5900,249,47,https://cdna.pcpartpicker.com/static/forever/images/product/6be6a2a6df1721fef27435a91c501521.256p.jpg
28,Intel,Celeron G5920,259,3,https://cdna.pcpartpicker.com/static/forever/images/product/2d6ef3b24084f8f33ac723e29d3b1df4.256p.jpg
29,Intel,Core i3-10100,659,57,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg
30,Intel,Core i3-10100F,519,58,https://cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg
31,Intel,Core i3-10300,679,70,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg
32,Intel,Core i3-10320,669,94,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg
33,Intel,Core i3-9100,819,34,https://cdna.pcpartpicker.com/static/forever/images/product/46badc31f619c275800a79476709e08f.256p.jpg
34,Intel,Core i3-9100F,539,56,https://cdna.pcpartpicker.com/static/forever/images/product/0d74fb44f832ad674549787311aafa0f.256p.jpg
35,Intel,Core i3-9350K,1119,92,https://cdna.pcpartpicker.com/static/forever/images/product/f50b7e267212207b24b39b85ec8e5b47.256p.jpg
36,Intel,Core i3-9350KF,1099,60,https://cdna.pcpartpicker.com/static/forever/images/product/b832802a56c229f75ef6adf54fad250c.256p.jpg
37,Intel,Core i5-10400,809,74,https://cdna.pcpartpicker.com/static/forever/images/product/c18ee131d4d211b2ad40882e5b997371.256p.jpg
38,Intel,Core i5-10400F,639,60,https://cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg
39,Intel,Core i5-10500,909,51,https://m.media-amazon.com/images/I/41F53BqjpJL.jpg
40,Intel,Core i5-10600,1019,1,https://m.media-amazon.com/images/I/41F53BqjpJL.jpg
41,Intel,Core i5-10600K,889,59,https://cdna.pcpartpicker.com/static/forever/images/product/cec5ee818776737baefc9603bdbf9391.256p.jpg
42,Intel,Core i5-10600KF,869,65,https://cdna.pcpartpicker.com/static/forever/images/product/d28d05f1c9972e51ef212760baca9612.256p.jpg
43,Intel,Core i5-11400,859,81,https://cdna.pcpartpicker.com/static/forever/images/product/c770299ed161e4589288e53b3c315088.256p.jpg
44,Intel,Core i5-11400F,799,62,https://cdna.pcpartpicker.com/static/forever/images/product/1cd42b90d913aa4fe2338eb376fd3e2d.256p.jpg
45,Intel,Core i5-11500,1009,55,https://cdna.pcpartpicker.com/static/forever/images/product/ed81b3f4911beef4ee212f49dec938ee.256p.jpg
46,Intel,Core i5-11600K,1239,56,https://cdna.pcpartpicker.com/static/forever/images/product/6881ec4618066263cbe6904e95ae9278.256p.jpg
47,Intel,Core i5-11600KF,1129,53,https://cdna.pcpartpicker.com/static/forever/images/product/f9223631f303e54d9bd4aa9967c1f287.256p.jpg
48,Intel,Core i5-9400,779,30,https://cdna.pcpartpicker.com/static/forever/images/product/ecfb3f0796c1b19602849d9e4e622552.256p.jpg
49,Intel,Core i5-9400F,629,99,https://cdna.pcpartpicker.com/static/forever/images/product/04f08a1dee17429cdf0a6021ebe5351d.256p.jpg
50,Intel,Core i5-9500,939,7,https://cdna.pcpartpicker.com/static/forever/images/product/f4137a480bf61e69b6d83e150a0afb01.256p.jpg
51,Intel,Core i5-9500F,839,83,https://cdna.pcpartpicker.com/static/forever/images/product/ecfb3f0796c1b19602849d9e4e622552.256p.jpg
52,Intel,Core i5-9600,849,92,https://cdna.pcpartpicker.com/static/forever/images/product/f4137a480bf61e69b6d83e150a0afb01.256p.jpg
53,Intel,Core i5-9600K,769,67,https://cdna.pcpartpicker.com/static/forever/images/product/e4d23e431c0f5d2f3d2707deadd0352a.256p.jpg
54,Intel,Core i5-9600KF,759,54,https://cdna.pcpartpicker.com/static/forever/images/product/a289a7b9f1db29fdb4364c09d7d012f8.256p.jpg
55,Intel,Core i7-10700,1309,9,https://cdna.pcpartpicker.com/static/forever/images/product/6e4a9298687049841d3cb15170acc4cc.256p.jpg
56,Intel,Core i7-10700F,1269,72,https://m.media-amazon.com/images/I/41P4d+8jqLL.jpg
