id,tier,form_factor,efficiency_rating,wattage,modular,product_fk
1,0.7,ATX,80+ Gold,550,Modularny,3123
2,0.7,ATX,80+ Gold,1000,Modularny,3124
3,0.7,ATX,80+ Gold,850,Modularny,3125
4,1.3,ATX,80+ Titanium,1000,Modularny,3126
5,1.3,ATX,80+ Titanium,850,Modularny,3127
6,1.3,ATX,80+ Titanium,750,Modularny,3128
7,0.7,ATX,80+ Platinum,850,Pół modularny,3129
8,0.7,ATX,80+ Platinum,750,Pół modularny,3130
9,0.7,ATX,80+ Platinum,650,Pół modularny,3131
10,0.7,ATX,80+ Platinum,550,Pół modularny,3132
11,0.7,ATX,80+ Titanium,1200,Modularny,3133
12,0.7,ATX,80+ Titanium,1500,Modularny,3134
13,4,SFX,80+ Bronze,400,Niemodularny,3135
14,4,SFX,80+ Bronze,300,Niemodularny,3136
15,3,ATX,80+ Bronze,650,Modularny,3137
16,2,ATX,80+ Silver,500,Niemodularny,3138
17,2,ATX,80+ Silver,400,Pół modularny,3139
18,2,ATX,80+ Silver,700,Pół modularny,3140
19,4,ATX,80+ Bronze,300,Niemodularny,3141
20,2,ATX,80+ Gold,400,Niemodularny,3142
21,2,ATX,80+ Gold,700,Niemodularny,3143
22,2,ATX,80+ Bronze,350,Niemodularny,3144
23,2,ATX,80+ Gold,600,Pół modularny,3145
24,2,ATX,80+ Gold,700,Pół modularny,3146
25,2,ATX,80+ Gold,500,Pół modularny,3147
26,2,ATX,80+ Gold,400,Pół modularny,3148
27,2,SFX,80+ Gold,600,Modularny,3149
28,2,SFX,80+ Gold,500,Modularny,3150
29,0.7,ATX,80+ Gold,750,Modularny,3151
30,0.7,ATX,80+ Gold,650,Modularny,3152
31,0.7,ATX,80+ Gold,850,Modularny,3153
32,0.7,ATX,80+ Gold,550,Modularny,3154
33,0.7,ATX,80+ Gold,1000,Modularny,3155
34,0.7,ATX,80+ Gold,450,Modularny,3156
35,3,ATX,80+ Bronze,400,Niemodularny,3157
36,3,ATX,80+ Bronze,600,Niemodularny,3158
37,3,ATX,80+ Bronze,500,Niemodularny,3159
38,3,ATX,80+ Bronze,700,Niemodularny,3160
39,3,ATX,80+ Bronze,700,Pół modularny,3161
40,3,ATX,80+ Bronze,500,Pół modularny,3162
41,0.7,ATX,80+ Gold,650,Niemodularny,3163
42,0.7,ATX,80+ Gold,750,Niemodularny,3164
43,1.3,ATX,80+ Gold,550,Niemodularny,3165
44,1.3,ATX,80+ Gold,450,Niemodularny,3166
45,0.8,ATX,80+ Gold,650,Modularny,3167
46,0.8,ATX,80+ Gold,750,Modularny,3168
47,1.3,ATX,80+ Gold,450,Modularny,3169
48,1.3,ATX,80+ Gold,550,Modularny,3170
49,0.8,ATX,80+ Gold,850,Modularny,3171
50,2.3,ATX,80+ Bronze,450,Niemodularny,3172
51,2.3,ATX,80+ Bronze,650,Niemodularny,3173
52,2.3,ATX,80+ Bronze,550,Niemodularny,3174
53,2.3,ATX,80+ Bronze,750,Niemodularny,3175
54,2.3,ATX,80+ Bronze,450,Niemodularny,3176
55,2.3,ATX,80+ Bronze,700,Niemodularny,3177
56,2.3,ATX,80+ Bronze,500,Niemodularny,3178
57,2.3,ATX,80+ Bronze,600,Niemodularny,3179
58,2.3,ATX,80+,400,Niemodularny,3180
