id,chipset,memory_gb,core_clock_mhz,boost_clock_mhz,length_mm,tdp,recommended_psu_watts,performance,product_fk
1,GeForce GT 1030,2,1266,1506,169,30,200,100,1690
2,GeForce GT 1030,2,1266,1506,173,30,200,100,1691
3,GeForce GT 1030,2,1278,1531,184,30,200,100,1692
4,GeForce GT 1030,2,1290,1544,145,30,200,100,1693
5,GeForce GT 1030,2,1290,1544,145,30,200,100,1694
6,GeForce GT 1030,2,1290,1544,168,30,200,100,1695
7,GeForce GT 1030,2,1227,1468,180,30,200,100,1696
8,GeForce GT 1030,2,1252,1506,150,30,200,100,1697
9,GeForce GT 1030,2,1290,1544,168,30,200,100,1698
10,GeForce GT 1030,2,1252,1506,175,30,200,100,1699
11,GeForce GT 1030,2,1265,1518,147,30,200,100,1700
12,GeForce GT 1030,2,1265,1518,159,30,200,100,1701
13,GeForce GT 1030,2,1265,1518,159,30,200,100,1702
14,GeForce GT 1030,2,1265,1518,153,30,200,100,1703
15,GeForce GT 1030,2,1265,1518,153,30,200,100,1704
16,GeForce GT 1030,2,1265,1518,147,30,200,100,1705
17,GeForce GT 1030,2,1227,1468,173,30,200,100,1706
18,GeForce GT 1030 DDR4,2,1189,1460,145,20,200,94,1707
19,GeForce GT 1030 DDR4,2,1151,1417,150,20,200,94,1708
20,GeForce GT 1030 DDR4,2,1189,1430,147,20,200,94,1709
21,GeForce GT 1030 DDR4,2,1189,1430,150,20,200,94,1710
22,GeForce GT 1030 DDR4,2,1189,1430,150,20,200,94,1711
23,GeForce GTX 1050,2,1404,1544,203,75,250,198,1712
24,GeForce GTX 1050,2,1404,1518,212,75,250,198,1713
25,GeForce GTX 1050,2,1404,1518,212,75,250,198,1714
26,GeForce GTX 1050,2,1442,1569,241,75,250,198,1715
27,GeForce GTX 1050,2,1354,1455,145,75,250,198,1716
28,GeForce GTX 1050,2,1442,1556,267,75,250,198,1717
29,GeForce GTX 1050,2,1417,1531,145,75,250,198,1718
30,GeForce GTX 1050,2,1430,1544,229,75,250,198,1719
31,GeForce GTX 1050,2,1354,1493,172,75,250,198,1720
32,GeForce GTX 1050,2,1417,1556,219,75,250,198,1721
33,GeForce GTX 1050,3,1392,1556,172,75,250,198,1722
34,GeForce GTX 1050,3,1417,1582,191,75,250,198,1723
35,GeForce GTX 1050,3,1404,1569,167,75,250,198,1724
36,GeForce GTX 1050,2,1379,1518,191,75,250,198,1725
37,GeForce GTX 1050,2,1366,1506,167,75,250,198,1726
38,GeForce GTX 1050,2,1354,1493,229,75,250,198,1727
39,GeForce GTX 1050,2,1392,1531,229,75,250,198,1728
40,GeForce GTX 1050,2,1354,1455,145,75,250,198,1729
41,GeForce GTX 1050,2,1354,1455,195,75,250,198,1730
42,GeForce GTX 1050,2,1366,1468,196,75,250,198,1731
43,GeForce GTX 1050,2,1404,1518,155,75,250,198,1732
44,GeForce GTX 1050,2,1354,1556,229,75,250,198,1733
45,GeForce GTX 1050,2,1354,1556,229,75,250,198,1734
46,GeForce GTX 1050,2,1404,1518,177,75,250,198,1735
47,GeForce GTX 1050,2,1354,1455,182,75,250,198,1736
48,GeForce GTX 1050,2,1404,1518,215,75,250,198,1737
49,GeForce GTX 1050,2,1354,1455,166,75,250,198,1738
