id,tier,form_factor,efficiency_rating,wattage,modular,product_fk
1,0.7,ATX,80+ Gold,550,Full,3123
2,0.7,ATX,80+ Gold,1000,Full,3124
3,0.7,ATX,80+ Gold,850,Full,3125
4,1.3,ATX,80+ Titanium,1000,Full,3126
5,1.3,ATX,80+ Titanium,850,Full,3127
6,1.3,ATX,80+ Titanium,750,Full,3128
7,0.7,ATX,80+ Platinum,850,Semi,3129
8,0.7,ATX,80+ Platinum,750,Semi,3130
9,0.7,ATX,80+ Platinum,650,Semi,3131
10,0.7,ATX,80+ Platinum,550,Semi,3132
11,0.7,ATX,80+ Titanium,1200,Full,3133
12,0.7,ATX,80+ Titanium,1500,Full,3134
13,4,SFX,80+ Bronze,400,No,3135
14,4,SFX,80+ Bronze,300,No,3136
15,3,ATX,80+ Bronze,650,Full,3137
16,2,ATX,80+ Silver,500,No,3138
17,2,ATX,80+ Silver,400,Semi,3139
18,2,ATX,80+ Silver,700,Semi,3140
19,4,ATX,80+ Bronze,300,No,3141
20,2,ATX,80+ Gold,400,No,3142
21,2,ATX,80+ Gold,700,No,3143
22,2,ATX,80+ Bronze,350,No,3144
23,2,ATX,80+ Gold,600,Semi,3145
24,2,ATX,80+ Gold,700,Semi,3146
25,2,ATX,80+ Gold,500,Semi,3147
26,2,ATX,80+ Gold,400,Semi,3148
27,2,SFX,80+ Gold,600,Full,3149
28,2,SFX,80+ Gold,500,Full,3150
29,0.7,ATX,80+ Gold,750,Full,3151
30,0.7,ATX,80+ Gold,650,Full,3152
31,0.7,ATX,80+ Gold,850,Full,3153
32,0.7,ATX,80+ Gold,550,Full,3154
33,0.7,ATX,80+ Gold,1000,Full,3155
34,0.7,ATX,80+ Gold,450,Full,3156
35,3,ATX,80+ Bronze,400,No,3157
36,3,ATX,80+ Bronze,600,No,3158
37,3,ATX,80+ Bronze,500,No,3159
38,3,ATX,80+ Bronze,700,No,3160
39,3,ATX,80+ Bronze,700,Semi,3161
40,3,ATX,80+ Bronze,500,Semi,3162
41,0.7,ATX,80+ Gold,650,No,3163
42,0.7,ATX,80+ Gold,750,No,3164
43,1.3,ATX,80+ Gold,550,No,3165
44,1.3,ATX,80+ Gold,450,No,3166
45,0.8,ATX,80+ Gold,650,Full,3167
46,0.8,ATX,80+ Gold,750,Full,3168
47,1.3,ATX,80+ Gold,450,Full,3169
48,1.3,ATX,80+ Gold,550,Full,3170
49,0.8,ATX,80+ Gold,850,Full,3171
50,2.3,ATX,80+ Bronze,450,No,3172
51,2.3,ATX,80+ Bronze,650,No,3173
52,2.3,ATX,80+ Bronze,550,No,3174
53,2.3,ATX,80+ Bronze,750,No,3175
54,2.3,ATX,80+ Bronze,450,No,3176
55,2.3,ATX,80+ Bronze,700,No,3177
56,2.3,ATX,80+ Bronze,500,No,3178
57,2.3,ATX,80+ Bronze,600,No,3179
58,2.3,ATX,80+,400,No,3180
59,2.3,ATX,80+,650,No,3181
60,1,SFX,80+ Gold,850,Full,3182
61,1,SFX,80+ Gold,750,Full,3183
62,1,SFX,80+ Gold,650,Full,3184
63,1,ATX,80+ Gold,750,Semi,3185
64,0.8,ATX,80+ Titanium,1600,Full,3186
65,4,ATX,80+ Bronze,450,No,3187
66,0.8,ATX,80+ Platinum,1000,Full,3188
67,0.8,ATX,80+ Platinum,850,Full,3189
68,0.8,ATX,80+ Platinum,750,Full,3190
69,0.8,ATX,80+ Platinum,1200,Full,3191
70,0.8,ATX,80+ Platinum,1000,Full,3192
71,0.8,ATX,80+ Platinum,850,Full,3193
72,0.8,ATX,80+ Platinum,750,Full,3194
73,0.7,ATX,80+ Gold,750,Full,3195
74,0.7,ATX,80+ Gold,850,Full,3196
75,0.7,ATX,80+ Gold,650,Full,3197
76,0.8,ATX,80+ Gold,750,Full,3198
77,0.8,ATX,80+ Gold,650,Full,3199
78,0.8,ATX,80+ Gold,850,Full,3200
79,0.8,ATX,80+ Gold,750,Full,3201
80,0.8,ATX,80+ Gold,650,Full,3202
81,0.8,ATX,80+ Gold,550,Full,3203
82,1.3,SFX,80+ Platinum,750,Full,3204
83,1.3,SFX,80+ Platinum,600,Full,3205
84,1.3,SFX,80+ Gold,450,Full,3206
85,1,ATX,80+ Gold,550,Semi,3207
86,2,ATX,80+ Bronze,450,Full,3208
87,2,ATX,80+ Bronze,750,Full,3209
88,3,ATX,80+ Bronze,600,Semi,3210
89,3,ATX,80+ Bronze,750,Semi,3211
90,3,ATX,80+ Bronze,500,Semi,3212
91,3,ATX,80+ Bronze,850,Semi,3213
92,3,ATX,80+ Bronze,650,Semi,3214
93,3.3,ATX,80+ Bronze,500,No,3215
94,3.3,ATX,80+ Bronze,450,No,3216
95,3.3,ATX,80+ Bronze,600,No,3217
96,3.3,ATX,80+ Bronze,700,No,3218
97,4,ATX,80+ Bronze,450,No,3219
98,1.3,ATX,80+ Gold,750,Full,3220
99,1.3,ATX,80+ Gold,650,Full,3221
100,2,ATX,80+ Gold,650,Full,3222
101,2,ATX,80+ Gold,750,Full,3223
102,2,ATX,80+ Gold,1000,Full,3224
103,2,ATX,80+ Gold,850,Full,3225
104,2,ATX,80+ Gold,600,No,3226
105,2,ATX,80+ Gold,700,No,3227
106,2,ATX,80+ Gold,500,No,3228
107,1,ATX,80+ Platinum,850,Full,3229
108,1,ATX,80+ Platinum,750,Full,3230
109,1,ATX,80+ Platinum,650,Full,3231
110,1,SFX,80+ Gold,650,Full,3232
111,1,SFX,80+ Gold,500,Full,3233
112,0.7,ATX,80+ Platinum,760,Full,3234
113,0.7,ATX,80+ Platinum,560,Full,3235
114,0.7,ATX,80+ Platinum,860,Full,3236
115,0.7,ATX,80+ Platinum,660,Full,3237
