id,speed,modules_count,module_capacity_gb,fw_latency_ns,cl,product_fk
1,3000,1,8,10,15,580
2,3000,1,16,10.667,16,581
3,3000,2,8,10,15,582
4,3000,1,16,10,15,583
5,3200,2,8,10,16,584
6,2666,1,16,14.254,19,585
7,3000,2,8,10.667,16,586
8,2666,1,16,13.503,18,587
9,2666,2,8,11.253,15,588
10,4133,2,4,9.194,19,589
11,2666,2,8,12.003,16,590
12,2666,2,8,14.254,19,591
13,2800,2,8,12.143,17,592
14,3200,2,8,10,16,593
15,3200,2,8,10,16,594
16,4866,2,8,7.398,18,595
17,2933,2,8,10.91,16,596
18,3200,1,16,10,16,597
19,3200,1,16,10,16,598
20,2666,2,8,14.254,19,599
21,3200,2,8,10,16,600
22,2666,2,8,12.003,16,601
23,3600,2,8,10,18,602
24,3600,1,16,10,18,603
25,3000,2,8,10,15,604
26,3466,2,8,9.233,16,605
27,3200,2,8,10,16,606
28,3200,2,8,10,16,607
29,3200,2,8,10,16,608
30,3200,2,8,10,16,609
31,3200,1,16,10,16,610
32,2666,1,16,12.003,16,611
33,2666,2,8,12.003,16,612
34,3600,2,8,11.111,20,613
35,3200,2,8,10,16,614
36,2666,2,8,12.003,16,615
37,3333,2,8,9.601,16,616
38,3000,2,8,10.667,16,617
39,2666,1,16,14.254,19,618
40,3200,1,16,10,16,619
41,3600,2,8,8.889,16,620
42,2666,2,8,11.253,15,621
43,3000,1,16,10,15,622
44,3600,2,8,10,18,623
45,2666,2,8,12.003,16,624
46,3600,2,8,10,18,625
47,2666,1,16,12.003,16,626
48,3200,2,8,10,16,627
49,3000,2,8,10.667,16,628
50,2666,1,16,14.254,19,629
51,3000,2,8,10.667,16,630
52,2666,2,8,9.752,13,631
53,3000,2,8,10.667,16,632
54,2666,2,8,14.254,19,633
55,3000,2,8,10.667,16,634
56,3000,2,4,10,15,635
57,3200,1,16,10,16,636
58,3200,2,8,10,16,637
59,5100,2,8,7.451,19,638
60,3000,1,16,10.667,16,639
61,3000,1,16,10,15,640
62,3000,2,8,10.667,16,641
63,3200,2,8,10,16,642
64,4800,2,8,7.5,18,643
65,3000,2,8,10.667,16,644
66,3000,2,4,10.667,16,645
67,2666,1,16,13.503,18,646
68,3000,2,8,10.667,16,647
69,2666,1,16,12.003,16,648
70,3200,1,16,10,16,649
71,3333,4,16,9.601,16,650
72,3600,4,8,10,18,651
73,3000,2,8,10.667,16,652
74,2666,1,16,9.752,13,653
75,2666,2,8,14.254,19,654
76,3200,2,8,10,16,655
77,3600,1,8,8.889,16,656
78,2666,2,8,14.254,19,657
79,2666,2,8,12.003,16,658
80,3200,4,16,10,16,659
81,2666,1,16,12.003,16,660
82,3200,2,8,10,16,661
83,2666,1,16,14.254,19,662
84,3000,1,16,10.667,16,663
85,3000,2,8,10,15,664
86,2666,1,8,11.253,15,665
87,2666,4,16,12.003,16,666
88,3200,1,16,13.75,22,667
89,3000,2,8,10.667,16,668
90,4133,4,8,8.226,17,669
91,2666,2,8,12.003,16,670
92,3733,4,16,9.108,17,671
93,3000,1,8,10.667,16,672
94,3000,4,16,10,15,673
95,3200,1,16,10,16,674
96,4500,2,8,8.444,19,675
97,3200,2,4,10,16,676
98,4600,2,8,8.261,19,677
99,2666,1,8,14.254,19,678
100,3200,1,8,11.25,18,679
101,4266,4,8,8.908,19,680
102,3600,4,16,10,18,681
103,2800,2,4,11.429,16,682
104,2666,1,8,14.254,19,683
105,3600,2,16,10,18,684
106,3200,2,4,10,16,685
107,3200,4,8,10,16,686
108,4600,2,8,8.261,19,687
109,2666,2,4,11.253,15,688
110,3200,4,16,10,16,689
111,3600,1,8,9.444,17,690
112,3200,1,8,13.75,22,691
113,2800,2,4,10.714,15,692
114,2666,2,4,11.253,15,693
115,2666,1,8,11.253,15,694
116,3733,4,8,9.108,17,695
117,4133,4,8,9.194,19,696
118,3200,4,16,8.75,14,697
119,2666,1,8,14.254,19,698
120,3000,2,4,10.667,16,699
121,3000,1,8,10.667,16,700
122,4133,2,16,9.194,19,701
123,3466,1,8,9.233,16,702
124,3000,2,4,10.667,16,703
125,2666,2,4,14.254,19,704
126,4000,4,8,9.5,19,705
127,3000,2,4,10.667,16,706
128,2933,1,8,10.228,15,707
129,3000,1,8,10,15,708
130,3200,2,4,11.875,19,709
131,2666,1,8,13.503,18,710
132,2666,2,4,12.003,16,711
133,2666,1,8,14.254,19,712
134,3000,4,16,10.667,16,713
135,3333,2,16,9.601,16,714
136,4000,2,32,9,18,715
137,3200,1,8,10,16,716
138,3200,1,8,10,16,717
139,3466,4,16,9.233,16,718
140,3000,4,16,10,15,719
141,2666,1,8,14.254,19,720
142,2933,1,8,14.32,21,721
143,3200,1,8,10,16,722
144,3600,1,8,10,18,723
145,3466,4,16,9.233,16,724
146,3600,4,16,10,18,725
147,3200,2,16,10,16,726
148,3000,1,8,10.667,16,727
149,2666,2,4,11.253,15,728
150,3466,4,8,9.233,16,729
151,3200,1,8,10,16,730
152,3200,1,8,10,16,731
153,2666,1,8,12.003,16,732
154,3200,2,4,10,16,733
155,2666,1,8,14.254,19,734
156,4000,4,8,9,18,735
157,4000,2,16,9.5,19,736
158,3466,4,8,9.233,16,737
159,2666,1,8,12.003,16,738
160,2666,1,8,11.253,15,739
161,2666,1,8,14.254,19,740
162,3466,2,16,9.233,16,741
163,3000,4,16,10.667,16,742
164,3000,4,16,10,15,743
165,2800,2,8,11.429,16,744
166,3600,4,16,10,18,745
167,3000,1,8,10.667,16,746
168,2666,1,8,14.254,19,747
169,3000,1,8,10,15,748
170,2666,1,8,12.003,16,749
171,3000,1,8,10.667,16,750
172,3200,1,8,10,16,751
173,3200,2,32,8.75,14,752
174,3600,4,16,9.444,17,753
175,3866,2,16,9.312,18,754
176,4266,2,8,8.908,19,755
177,3333,4,8,9.601,16,756
178,2666,1,8,9.752,13,757
179,2666,1,8,14.254,19,758
180,2666,4,16,14.254,19,759
181,3600,2,32,8.889,16,760
182,3200,4,16,10,16,761
183,4000,2,32,9,18,762
184,2666,1,8,13.503,18,763
185,2666,1,8,14.254,19,764
186,3000,2,16,10.667,16,765
187,3000,2,16,10,15,766
188,4800,2,8,7.917,19,767
189,3200,4,16,10,16,768
190,3000,4,16,10,15,769
191,2800,4,8,11.429,16,770
192,3466,4,8,9.233,16,771
193,2666,4,8,11.253,15,772
194,3600,4,16,10.556,19,773
195,2666,1,8,12.003,16,774
196,3000,1,8,10.667,16,775
197,3200,4,8,10,16,776
198,4000,2,32,9,18,777
199,4266,4,8,7.97,17,778
200,3600,2,32,10,18,779
201,3600,4,16,10,18,780
202,3600,4,16,10,18,781
203,2666,4,16,12.003,16,782
204,3600,2,32,10,18,783
205,4000,4,8,8.5,17,784
206,3200,2,16,10,16,785
207,3800,2,16,7.368,14,786
208,3200,2,32,10,16,787
209,3600,2,32,8.889,16,788
210,4000,2,16,9.5,19,789
211,3200,2,32,10,16,790
212,2666,1,8,12.003,16,791
213,3000,4,16,10.667,16,792
214,3466,4,16,9.81,17,793
215,3600,4,16,10,18,794
216,3200,4,16,10,16,795
217,3200,4,16,10,16,796
218,2666,1,8,14.254,19,797
219,4800,2,8,7.5,18,798
220,4600,2,8,8.261,19,799
221,3200,4,16,10,16,800
222,3466,2,32,9.81,17,801
223,3000,4,16,10.667,16,802
224,3600,2,32,8.889,16,803
225,3600,4,16,10,18,804
226,3600,2,32,10,18,805
227,3333,4,8,9.601,16,806
228,3000,4,16,10.667,16,807
229,4333,2,8,8.77,19,808
